original variables,0,1
alpine.skiing,0.07321325276861133,-0.006491650359310637
going.to.a.spa,-0.6975087328125094,-0.39222428496418105
using.health.facilities,0.31933272969751286,0.24640163437357232
hiking,0.017663161040681528,-0.012949595932918369
going.for.walks,0.027139616806865777,-0.012762904743940335
excursions,-0.04464283938682413,0.004727824103437881
going.out.in.the.evening,-0.005615615134772393,0.01484318986617411
going.to.discos.bars,0.001549164099096347,0.009901307486836956
shopping,-0.33091110650791444,0.049660130583385295
sight.seeing,0.498639053676453,-0.5914729666991914
museums,0.07485824578263021,-0.6558350370353566
pool.sauna,-0.1983071042104401,-0.04803036915201415
