original variables,0,1
alpine.skiing,-0.04520490340221281,-0.024291189069335088
going.to.a.spa,-0.9156840963880494,-0.14150479847986197
using.health.facilities,0.13708062766349557,0.2501080419675265
hiking,0.03428191535899963,-0.0542256317169595
going.for.walks,0.08654337329157867,-0.13149855627673085
excursions,0.09545094795314693,-0.09784836451399428
going.out.in.the.evening,0.10459078005629549,-0.09613165641767454
going.to.discos.bars,-0.02649961424043791,0.030712408928665752
shopping,-0.027546543656762717,0.0018265742529509758
sight.seeing,0.31822343736019265,-0.6104848242203252
museums,-0.0880246875561665,-0.7099857288035958
pool.sauna,-0.03869613163420173,-0.00814653905084595
