original variables,0,1
Beach,-0.02856399899766272,0.26869879275985403
Farm,2.2940657245974757e-05,0.2543679247419309
Whale,0.056736004267972276,0.28904799001313564
Riding,-0.04286943816294287,0.25596620560881467
Fishing,-0.014273404350779574,0.2118510699847731
WaterSport,-0.12460172816248925,0.20594416032783516
Theatre,-0.057240049245470555,0.23843832126647702
Museum,-0.13114357240315944,0.17437419771853133
CharterBoat,-0.057570654422918054,0.24974005034977106
Wildlife,2.414722630229467e-05,0.2573395054868964
Sightseeing,0.1746312967849631,0.2749457170344614
Friends,0.9488494811834185,-0.010314879086018242
Pubs,-0.0288699088692999,0.23344922173504853
Shopping,0.14838383813870074,0.29220352118080534
Casino,0.007473988414683881,0.26651270934904425
Relaxing,0.0289846318613987,0.23567200777807976
Festivals,-0.007066890029595794,0.26216482885639875
