original variables,0
Beach,0.1861177383963242
Farm,0.22876644458523981
Whale,0.21268171178173856
Riding,0.20866435121984428
Fishing,0.2757268584103937
WaterSport,-0.034568949240209666
Theatre,0.23038012731249832
Museum,0.10614965904771485
CharterBoat,0.20431935571642065
Wildlife,0.2225085089959554
Sightseeing,0.23686860813891025
Friends,-0.6658293502086887
Pubs,-0.044912772502303716
Shopping,0.20276393190564265
Casino,0.12905600132066022
Relaxing,0.17938651467627878
Festivals,-0.0056101921111244915
