original variables,0
Beach,0.18611773839632423
Farm,0.22876644458523984
Whale,0.21268171178173859
Riding,0.2086643512198443
Fishing,0.27572685841039374
WaterSport,-0.03456894924020967
Theatre,0.23038012731249835
Museum,0.10614965904771487
CharterBoat,0.20431935571642068
Wildlife,0.22250850899595542
Sightseeing,0.23686860813891028
Friends,-0.6658293502086888
Pubs,-0.04491277250230372
Shopping,0.20276393190564268
Casino,0.12905600132066025
Relaxing,0.1793865146762788
Festivals,-0.005610192111124492
